GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
firstProject,tn.esprit.firstproject,FirstProjectApplication,8,0,0,0,3,0,2,0,2,0
firstProject,tn.esprit.firstproject.entity,Universite,58,0,0,0,9,0,12,0,12,0
firstProject,tn.esprit.firstproject.entity,Chambre.ChambreBuilder,57,0,0,0,1,0,8,0,8,0
firstProject,tn.esprit.firstproject.entity,Foyer.FoyerBuilder,56,0,0,0,1,0,8,0,8,0
firstProject,tn.esprit.firstproject.entity,Reservation,69,0,0,0,10,0,12,0,12,0
firstProject,tn.esprit.firstproject.entity,Etudiant,105,0,0,0,13,0,18,0,18,0
firstProject,tn.esprit.firstproject.entity,Universite.UniversiteBuilder,46,0,0,0,1,0,7,0,7,0
firstProject,tn.esprit.firstproject.entity,TypeChambre,21,0,0,0,4,0,1,0,1,0
firstProject,tn.esprit.firstproject.entity,Bloc.BlocBuilder,24,32,0,0,0,1,3,5,3,5
firstProject,tn.esprit.firstproject.entity,Reservation.ReservationBuilder,47,0,0,0,1,0,7,0,7,0
firstProject,tn.esprit.firstproject.entity,Foyer,68,0,0,0,10,0,14,0,14,0
firstProject,tn.esprit.firstproject.entity,Etudiant.EtudiantBuilder,74,0,0,0,1,0,10,0,10,0
firstProject,tn.esprit.firstproject.entity,Bloc,14,54,0,0,2,8,4,10,4,10
firstProject,tn.esprit.firstproject.entity,Chambre,79,0,0,0,11,0,14,0,14,0
firstProject,tn.esprit.firstproject.serviceIMP,UniversiteServiceImpl,86,0,0,0,16,0,8,0,8,0
firstProject,tn.esprit.firstproject.serviceIMP,ChambreServiceImpl,47,0,0,0,8,0,8,0,8,0
firstProject,tn.esprit.firstproject.serviceIMP,ReservationServiceImpl,85,0,0,0,14,0,7,0,7,0
firstProject,tn.esprit.firstproject.serviceIMP,BlocServiceImpl,72,0,2,0,14,0,8,0,7,0
firstProject,tn.esprit.firstproject.serviceIMP,EtudiantServiceImpl,34,0,0,0,7,0,6,0,6,0
firstProject,tn.esprit.firstproject.serviceIMP,FoyerServiceImpl,87,0,2,0,17,0,8,0,7,0
firstProject,tn.esprit.firstproject.controllers,ReservationController,37,0,0,0,7,0,7,0,7,0
firstProject,tn.esprit.firstproject.controllers,EtudiantController,33,0,0,0,8,0,6,0,6,0
firstProject,tn.esprit.firstproject.controllers,BlocController,36,0,0,0,8,0,7,0,7,0
firstProject,tn.esprit.firstproject.controllers,DatabaseConnection,21,0,0,0,9,0,2,0,2,0
firstProject,tn.esprit.firstproject.controllers,UniversiteController,36,0,0,0,7,0,7,0,7,0
firstProject,tn.esprit.firstproject.controllers,FoyerController,36,0,0,0,8,0,7,0,7,0
firstProject,tn.esprit.firstproject.controllers,ChambreController,36,0,0,0,7,0,7,0,7,0
firstProject,tn.esprit.firstproject.configuration,LoggingAspect,43,0,0,0,14,0,6,0,6,0
firstProject,tn.esprit.firstproject.configuration,PerformanceAspect,22,0,0,0,7,0,3,0,3,0
